Start: 1595947286656
After validateInconsistentIliAndXMLVersion: 1595947286656
After uniquenessOfBid.clear(): 1595947286656
After validateBasketEven (itf0): 1595947286661
After validateBasketEven (itf1): 1595947287040
After validateBasketEven (itf2): 1595947287059
After validateBasketEven (itf3): 1595947287956
After validateBasketEven (itf4): 1595947310573
After validateBasketEven (itf5): 1595947314073
After validateBasketEven (itf6): 1595947314073
After validateBasketEven (itf7): 1595947314378
After validateBasketEven (itf8): 1595947324019
After validateBasketEven (itf9): 1595947324070
After validateBasketEven (itf10): 1595947324146
After validateBasketEven (itf11): 1595947324402
After validateBasketEven (itf12): 1595947324404
After validateBasketEven (itf13): 1595947324406
After validateBasketEven (itf14): 1595947324406
After validateBasketEven (itf15): 1595947324593
After validateBasketEven (itf16): 1595947324671
After validateBasketEven (itf17): 1595947324671
After validateBasketEven (itf18): 1595947324671
After validateBasketEven (itf19): 1595947326387
