Start: 1595947965472
After validateInconsistentIliAndXMLVersion: 1595947965473
After uniquenessOfBid.clear(): 1595947965473
After validateBasketEven (itf0): 1595947965477
After validateBasketEven (itf1): 1595947965553
After validateBasketEven (itf2): 1595947965568
After validateBasketEven (itf3): 1595947966305
After validateBasketEven (itf4): 1595947968316
After validateBasketEven (itf5): 1595947970365
After validateBasketEven (itf6): 1595947970365
After validateBasketEven (itf7): 1595947970402
After validateBasketEven (itf8): 1595947974892
After validateBasketEven (itf9): 1595947974895
After validateBasketEven (itf10): 1595947974898
After validateBasketEven (itf11): 1595947975014
After validateBasketEven (itf12): 1595947975016
After validateBasketEven (itf13): 1595947975018
After validateBasketEven (itf14): 1595947975018
After validateBasketEven (itf15): 1595947975045
After validateBasketEven (itf16): 1595947975048
After validateBasketEven (itf17): 1595947975048
After validateBasketEven (itf18): 1595947975048
After validateBasketEven (itf19): 1595947976314
