Start: 1595947500818
After validateInconsistentIliAndXMLVersion: 1595947500819
After uniquenessOfBid.clear(): 1595947500819
After validateBasketEven (itf0): 1595947500822
After validateBasketEven (itf1): 1595947500965
After validateBasketEven (itf2): 1595947500974
After validateBasketEven (itf3): 1595947502168
After validateBasketEven (itf4): 1595947538700
After validateBasketEven (itf5): 1595947545024
After validateBasketEven (itf6): 1595947545024
After validateBasketEven (itf7): 1595947545551
After validateBasketEven (itf8): 1595947558444
After validateBasketEven (itf9): 1595947558520
After validateBasketEven (itf10): 1595947558681
After validateBasketEven (itf11): 1595947559147
After validateBasketEven (itf12): 1595947559152
After validateBasketEven (itf13): 1595947559155
After validateBasketEven (itf14): 1595947559155
After validateBasketEven (itf15): 1595947559438
After validateBasketEven (itf16): 1595947559566
After validateBasketEven (itf17): 1595947559566
After validateBasketEven (itf18): 1595947559566
After validateBasketEven (itf19): 1595947562244
