Start: 1595947871594
After validateInconsistentIliAndXMLVersion: 1595947871594
After uniquenessOfBid.clear(): 1595947871594
After validateBasketEven (itf0): 1595947871598
After validateBasketEven (itf1): 1595947871625
After validateBasketEven (itf2): 1595947871632
After validateBasketEven (itf3): 1595947872574
After validateBasketEven (itf4): 1595947876147
After validateBasketEven (itf5): 1595947879467
After validateBasketEven (itf6): 1595947879467
After validateBasketEven (itf7): 1595947879513
After validateBasketEven (itf8): 1595947888618
After validateBasketEven (itf9): 1595947888622
After validateBasketEven (itf10): 1595947888628
After validateBasketEven (itf11): 1595947888839
After validateBasketEven (itf12): 1595947888842
After validateBasketEven (itf13): 1595947888846
After validateBasketEven (itf14): 1595947888846
After validateBasketEven (itf15): 1595947888896
After validateBasketEven (itf16): 1595947888900
After validateBasketEven (itf17): 1595947888900
After validateBasketEven (itf18): 1595947888900
After validateBasketEven (itf19): 1595947891355
